序号,发票代码,发票号码,数电发票号码,销方识别号,销方名称,购方识别号,购买方名称,开票日期,税收分类编码,特定业务类型,货物或应税劳务名称,规格型号,单位,数量,单价,金额,税率,税额,价税合计,发票来源,发票票种,发票状态,是否正数发票,发票风险等级,开票人,备注,币种,外币金额,汇率,方向,数电票号码,
1,,,25442000000314562003,914420005626089749,广东澳特浦光电有限公司,,E.T.O SOLAR LTD,2025-05-29 17:08:19,1090424020000000000,,*照明装置*太阳能路灯,,个,72,956.133194444444,68841.59,0%,0.0,68841.59,电子发票服务平台,数电发票（普通发票）,正常,是,正常,周培文,"报关单号：534820250480029929
合同协议号：ATP-C02602025032401
贸易方式：一般贸易
结算方式：EXW
外币金额：$9560.27
汇率：7.2008",CNY,0.0,1.0,out,,
2,,,25442000000314506552,914420005626089749,广东澳特浦光电有限公司,,"MOGE INDUSTRIAL CO.,LTD",2025-05-29 16:59:07,1090424020000000000,,*照明装置*驱动电源,,台,2850,39.8204245614035,113488.21,0%,0.0,113488.21,电子发票服务平台,数电发票（普通发票）,正常,是,正常,周培文,"报关单号：516620250660590015
合同协议号：C49.0321.01P
贸易方式：一般贸易
结算方式：EXW
外币金额：$20262.5
汇率：7.2008",CNY,0.0,1.0,out,,
3,,,25442000000314506552,914420005626089749,广东澳特浦光电有限公司,,"MOGE INDUSTRIAL CO.,LTD",2025-05-29 16:59:07,1090424020000000000,,*照明装置*太阳能路灯,,台,20,1620.9,32418.0,0%,0.0,32418.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,周培文,"报关单号：516620250660590015
合同协议号：C49.0321.01P
贸易方式：一般贸易
结算方式：EXW
外币金额：$20262.5
汇率：7.2008",CNY,0.0,1.0,out,,
4,,,25442000000312791298,914420005626089749,广东澳特浦光电有限公司,91320281MADWDLAP6Q,江阴市辉跃铭科技有限公司,2025-05-29 10:50:56,1090424020000000000,,*照明装置*太阳能洗墙灯,10W,个,20,149.557522123894,2991.15,13%,388.85,3380.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,黄慧嫦,,CNY,0.0,1.0,out,,
5,,,25442000000309341326,914420005626089749,广东澳特浦光电有限公司,,METALURGICA IL INDUSTRIA DE ILUMINACAO LTDA,2025-05-28 10:16:01,1090424020000000000,,*照明装置*驱动电源,,个,18250,14.1135682191781,257572.62,0%,0.0,257572.62,电子发票服务平台,数电发票（普通发票）,正常,是,正常,周培文,"报关单号：530620250060286140
合同协议号：C17.0215.7C/25
贸易方式：一般贸易
结算方式：EXW
外币金额：$35770
汇率：7.2008",CNY,0.0,1.0,out,,
6,,,25442000000309142141,914420005626089749,广东澳特浦光电有限公司,,FEILO EXIM LIMITED,2025-05-28 09:36:34,1090424020000000000,,*照明装置*太阳能庭院灯,,个,300,106.571833333333,31971.55,0%,0.0,31971.55,电子发票服务平台,数电发票（普通发票）,正常,是,正常,周培文,"报关单号：535220250520504077
合同协议号：P025585.C039
贸易方式：一般贸易
结算方式：EXW
外币金额：$4440
汇率：7.2008",CNY,0.0,1.0,out,,
7,,,25442000000309124134,914420005626089749,广东澳特浦光电有限公司,,ACE INTERNATIONAL HARDWARE/DO IT CENTER,2025-05-28 09:32:40,1090424020000000000,,*照明装置*太阳能壁灯,,个,500,100.8112,50405.6,0%,0.0,50405.6,电子发票服务平台,数电发票（普通发票）,正常,是,正常,周培文,"报关单号：520120250515035981
合同协议号：S25B11037
贸易方式：一般贸易
结算方式：FOB
外币金额：$7000
汇率：7.2008",CNY,0.0,1.0,out,,
8,,,25442000000309108825,914420005626089749,广东澳特浦光电有限公司,,ACE HARDWARE,2025-05-28 09:28:59,1090424020000000000,,*照明装置*太阳能路灯,,套,50,1049.8766,52493.83,0%,0.0,52493.83,电子发票服务平台,数电发票（普通发票）,正常,是,正常,周培文,"报关单号：425820250000588821
合同协议号：C036.37244.04P
贸易方式：一般贸易
结算方式：EXW
外币金额：$12040
汇率：7.2008",CNY,0.0,1.0,out,,
9,,,25442000000309108825,914420005626089749,广东澳特浦光电有限公司,,ACE HARDWARE,2025-05-28 09:28:59,1090424020000000000,,*照明装置*太阳能投光灯,,套,300,114.012666666667,34203.8,0%,0.0,34203.8,电子发票服务平台,数电发票（普通发票）,正常,是,正常,周培文,"报关单号：425820250000588821
合同协议号：C036.37244.04P
贸易方式：一般贸易
结算方式：EXW
外币金额：$12040
汇率：7.2008",CNY,0.0,1.0,out,,
10,,,25442000000309070852,914420005626089749,广东澳特浦光电有限公司,,"TOPWIDE VENTURES LIMITED, LAGOS",2025-05-28 09:20:01,1090424090000000000,,*照明装置*太阳能路灯,,套,1561,576.06399743754,899235.9,0%,0.0,899235.9,电子发票服务平台,数电发票（普通发票）,正常,是,正常,周培文,"报关单号：572120250215568741
合同协议号：C02.0246.05P
贸易方式：一般贸易
结算方式：FOB
外币金额：$124880
汇率：7.2008",CNY,0.0,1.0,out,,
11,,,25442000000309044004,914420005626089749,广东澳特浦光电有限公司,,"MOGE INDUSTRIAL CO.,LTD",2025-05-28 09:12:44,1090424020000000000,,*照明装置*驱动电源,,台,4500,37.6601844444444,169470.83,0%,0.0,169470.83,电子发票服务平台,数电发票（普通发票）,正常,是,正常,周培文,"报关单号：516620250660548537
合同协议号：C49.0312.01P
贸易方式：一般贸易
结算方式：EXW
外币金额：$23535
汇率：7.2008",CNY,0.0,1.0,out,,
12,,,25442000000309015061,914420005626089749,广东澳特浦光电有限公司,,LATIN TRADING CO S.A,2025-05-28 09:04:18,1090424020000000000,,*照明装置*太阳能路灯,,套,600,106.910283333333,64146.17,0%,0.0,64146.17,电子发票服务平台,数电发票（普通发票）,正常,是,正常,周培文,"报关单号：516620250660558470
合同协议号：C07.0520.08Q
贸易方式：一般贸易
结算方式：FOB
外币金额：$8908.2
汇率：7.2008",CNY,0.0,1.0,out,,
13,,,25442000000304665244,914420005626089749,广东澳特浦光电有限公司,91440101MA9UUH0R1U,广东燕加隆建设科技有限公司,2025-05-26 17:15:16,1090424020000000000,,*照明装置*太阳能路灯,,个,72,373.967551622419,26925.66,13%,3500.34,30426.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,周培文,"合同号：8100068580
外向交货单60041035-1",CNY,0.0,1.0,out,,
