供应商,合计(万元)
深圳市泰立丰电子科技有限公司,7.0574
深圳市红星辉印刷有限公司,1.1077
深圳市宝信发科技有限公司,18.0589
东莞市海鑫电子有限公司,3.935
深圳众诚无线科技有限公司,1.3892
深圳市麒鑫通达科技有限公司,5.898
深圳市佳劲源科技有限公司,172.5475
惠州市恒鑫电子科技有限公司,29.28
深圳市合诚鑫邦科技有限公司,2.2651
江西鹏达电子有限公司,4.59
深圳市忆博通数码电子有限公司,250.2031
东莞市瑞锦泰通讯科技有限公司,43.9899
深圳市颖勤电子有限公司,53.6862
东莞市鼎昊精密电子有限公司,3.406
东莞市景湾印务有限公司,21.5296
东莞市明德塑胶模具有限公司,0.6156
东莞市誉鑫电子科技有限公司,0.9313
泸州市深诺鑫电子科技有限公司,19.2884
深圳海普斯科技有限公司,7.1113
深圳市和义兴五金设备有限公司,11.586
深圳市华胜新材料有限公司,0.17
深圳市汇嘉达供应链有限公司,0.0707
深圳市佳信德科技有限公司,61.0088
深圳市品佳新材料有限公司,4.686
深圳市兴邦达显示技术有限公司,250.5152
深圳市影领电子有限公司,41.9157
深圳众城无线技术有限公司,1.5368
深圳市丙旺包装制品有限公司,3.8051
惠州市天阳卓创科技有限公司,1.642
重庆市昕茂鑫电子有限公司,5.845
东莞市朗琪电子科技有限公司,3.042
新宁县金鑫电子有限责任公司,3.2096
深圳市博思腾科技有限公司,2.0897
深圳市启鑫通科技有限公司,0.7652
