序号,发票代码,发票号码,数电发票号码,销方识别号,销方名称,购方识别号,购买方名称,开票日期,税收分类编码,特定业务类型,货物或应税劳务名称,规格型号,单位,数量,单价,金额,税率,税额,价税合计,发票来源,发票票种,发票状态,是否正数发票,发票风险等级,开票人,备注,币种,外币金额,汇率,方向,购方税号,销方税号,发票类型,_source
1,,,26957000000080470899,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060301010000000000,,*保险服务*一年期健康保险（免税）,**,份,1,128,128.0,免税,0.0,128.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
2,,,26957000000080470895,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060302990000000000,,*保险服务*其他财产保险服务,**,份,1,18.87,18.87,6%,1.13,20.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
3,,,26957000000080470895,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060301990000000000,,*保险服务*意外伤害保险,**,份,1,122.65,122.65,6%,7.35,130.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
4,,,26957000000080470895,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060302990000000000,,*保险服务*财产意外险,**,份,1,94.34,94.34,6%,5.66,100.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
5,,,26957000000080470895,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060302990000000000,,*保险服务*车辆商业保险,**,份,1,4756.35,4756.35,6%,285.38,5041.73,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
6,,,26957000000080470895,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060301990000000000,,*保险服务*人身意外险,**,份,1,75.48,75.48,6%,4.52,80.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
7,,,26957000000080470895,9144030089218633X2,中国平安财产保险股份有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 16:35:42,3060302020000000000,,*保险服务*机动车交通事故责任强制保险,**,份,1,726.42,726.42,6%,43.58,770.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,陈文曦,车牌号粤B-Z0663等;保单号10579003903316718555等;税款所属期2026年1月-12月;车船税1200.00元;滞纳金0.00元;合计金额7469.73元;车架号SALRA2BV3L2434794等,CNY,0.0,1.0,in,,,,
8,,,26327000000507439611,91320191MA26Y3U27W,南京京东广融贸易有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 10:05:45,1090510030000000000,,*计算机网络设备*普联（TP-LINK） 8口千兆交换机 企业用家用宿舍分流器 网线网络分线器   即插即用 TL-SG1008+,TL-SG1008+,台,1.00000000,78.7600000000000,78.76,13%,10.24,89.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,王梅,订单号:3433286006816343 ,CNY,0.0,1.0,in,,,,
9,,,26327000000505548134,91320191MA26Y3U27W,南京京东广融贸易有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-12 09:08:47,1090510030000000000,,*计算机网络设备*普联（TP-LINK） 8口千兆交换机 企业用家用宿舍分流器 网线网络分线器   即插即用 TL-SG1008+,TL-SG1008+,台,-1.00000000,78.7600000000000,-78.76,13%,-10.24,-89.0,电子发票服务平台,数电发票（普通发票）,正常,否,正常,王梅,被红冲蓝字数电发票号码: 26327000000496791348 红字发票信息确认单编号: 32011226031000889860 对应正数发票号码:26327000000496791348,CNY,0.0,1.0,in,,,,
10,,,26958479111015377088,91440300192211290H,深圳航空有限责任公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2026-03-11 16:06:12,3010301010100000000,航空运输电子客票行程单,*运输服务*票价,,,,,366.97,9%,33.03,400.0,电子发票服务平台,数电发票（航空运输电子客票行程单）,正常,是,正常,深圳航空有限责任公司,,CNY,0.0,1.0,in,,,,
