序号,发票代码,发票号码,数电发票号码,销方识别号,销方名称,购方识别号,购买方名称,开票日期,税收分类编码,特定业务类型,货物或应税劳务名称,规格型号,单位,数量,单价,金额,税率,税额,价税合计,发票来源,发票票种,发票状态,是否正数发票,发票风险等级,开票人,备注,币种,外币金额,汇率,方向,购方税号,销方税号,发票类型,_source
1,,,26322000001454999626,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-26 10:03:13,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Elite,台,300,604.10826,181232.48,0%,0.0,181232.48,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-009(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 121770、汇率：6.9678 出口报关单号：534520260000190738,USD,121770.0,6.9678,out,,,,
2,,,26322000001454999626,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-26 10:03:13,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Elite,台,350,550.4562,192659.67,0%,0.0,192659.67,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-009(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 121770、汇率：6.9678 出口报关单号：534520260000190738,USD,121770.0,6.9678,out,,,,
3,,,26322000001454999626,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-26 10:03:13,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Life,台,300,346.29966,103889.9,0%,0.0,103889.9,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-009(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 121770、汇率：6.9678 出口报关单号：534520260000190738,USD,121770.0,6.9678,out,,,,
4,,,26322000001454999626,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-26 10:03:13,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Life,台,200,379.7451,75949.02,0%,0.0,75949.02,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-009(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 121770、汇率：6.9678 出口报关单号：534520260000190738,USD,121770.0,6.9678,out,,,,
5,,,26322000001454999626,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-26 10:03:13,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Life,台,300,452.907,135872.1,0%,0.0,135872.1,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-009(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 121770、汇率：6.9678 出口报关单号：534520260000190738,USD,121770.0,6.9678,out,,,,
6,,,26322000001454999626,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-26 10:03:13,1090505010000000000,,*移动通信设备*智能手机,Wildfire E5 Elite,台,300,529.5528,158865.84,0%,0.0,158865.84,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-009(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 121770、汇率：6.9678 出口报关单号：534520260000190738,USD,121770.0,6.9678,out,,,,
7,,,26322000001163570071,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 18:44:39,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Elite,台,500,550.4562,275228.1,0%,0.0,275228.1,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-008(2)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 106105、汇率：6.9678 出口报关单号：534520260000177745,USD,106105.0,6.9678,out,,,,
8,,,26322000001163570071,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 18:44:39,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Elite,台,400,604.10826,241643.3,0%,0.0,241643.3,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-008(2)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 106105、汇率：6.9678 出口报关单号：534520260000177745,USD,106105.0,6.9678,out,,,,
9,,,26322000001163570071,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 18:44:39,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Life,台,250,346.29966,86574.92,0%,0.0,86574.92,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-008(2)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 106105、汇率：6.9678 出口报关单号：534520260000177745,USD,106105.0,6.9678,out,,,,
10,,,26322000001163570071,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 18:44:39,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Life,台,300,452.907,135872.1,0%,0.0,135872.1,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-008(2)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 106105、汇率：6.9678 出口报关单号：534520260000177745,USD,106105.0,6.9678,out,,,,
